User,Email Code To Send,Email Result,Password Code To Send,Password Result
nocodes@test.com,NULL,1,NULL,1
nocodes@test.com,NULL,1,RANDOM,1
nocodes@test.com,NULL,1,USER,1
nocodes@test.com,RANDOM,1,NULL,1
nocodes@test.com,RANDOM,1,RANDOM,1
nocodes@test.com,RANDOM,1,USER,1
nocodes@test.com,USER,1,NULL,1
nocodes@test.com,USER,1,RANDOM,1
nocodes@test.com,USER,1,USER,1
emailcode@test.com,NULL,1,NULL,1
emailcode@test.com,NULL,1,RANDOM,1
emailcode@test.com,NULL,1,USER,1
emailcode@test.com,RANDOM,1,NULL,1
emailcode@test.com,RANDOM,1,RANDOM,1
emailcode@test.com,RANDOM,1,USER,1
emailcode@test.com,USER,0,NULL,1
emailcode@test.com,USER,0,RANDOM,1
emailcode@test.com,USER,0,USER,1
passwordcode@test.com,NULL,1,NULL,1
passwordcode@test.com,NULL,1,RANDOM,1
passwordcode@test.com,NULL,1,USER,0
passwordcode@test.com,RANDOM,1,NULL,1
passwordcode@test.com,RANDOM,1,RANDOM,1
passwordcode@test.com,RANDOM,1,USER,0
passwordcode@test.com,USER,1,NULL,1
passwordcode@test.com,USER,1,RANDOM,1
passwordcode@test.com,USER,1,USER,0
bothcodes@test.com,NULL,1,NULL,1
bothcodes@test.com,NULL,1,RANDOM,1
bothcodes@test.com,NULL,1,USER,0
bothcodes@test.com,RANDOM,1,NULL,1
bothcodes@test.com,RANDOM,1,RANDOM,1
bothcodes@test.com,RANDOM,1,USER,0
bothcodes@test.com,USER,0,NULL,1
bothcodes@test.com,USER,0,RANDOM,1
bothcodes@test.com,USER,0,USER,0
